"Carimbo de data/hora","Género","Idade","Situação Profissional","Alguma vez já utilizou a plataforma(web/aplicação mobile)?","Com que frequência utiliza a plataforma?","Qual é a plataforma que utiliza?","Recomendaria a plataforma a familiares e amigos?","A plataforma(web/aplicação mobile) é intuitiva?","De 0 a 5, que nota atribui ao site?","O web/aplicação é de fácil acesso para todos? Incluindo pessoas não portuguesas?","Já teve problemas em associar o cartão bancário à plataforma?","Quanto tempo passa usando a plataforma?","Qual o tempo de resposta do suporte da plataforma?","Quais são, para si, as vantagens de usar a plataforma(web/aplicação)?","Alguma vez já utilizou a plataforma(web/aplicação mobile)?","Com que frequência utiliza a plataforma?","Qual é a plataforma que utiliza?","Recomendaria a plataforma a familiares e amigos?","A plataforma(web/aplicação mobile) é intuitiva?","De 0 a 5, que nota atribui ao site?","O web/aplicação é de fácil acesso para todos? Incluindo pessoas não portuguesas?","Já teve problemas em associar o cartão bancário à plataforma?","Quanto tempo passa usando a plataforma?","Qual o tempo de resposta do suporte da plataforma?","Quais são, para si, as vantagens de usar a plataforma(web/aplicação)?"
"2020/04/07 10:05:07 PM GMT+1","Masculino","20","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:05:55 PM GMT+1","Feminino","20","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:06:22 PM GMT+1","Masculino","20","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:06:55 PM GMT+1","Masculino","19","Estudante","Sim","2","Mobile","4","4","4","Sim","Não","5min","0h","","Não","","","","","","","","","",""
"2020/04/07 10:08:42 PM GMT+1","Masculino","20","Trabalhador","Não","","","","","","","","","","","Sim","3","Web;Mobile","3","0","4","Sim","Não","8min","1h","Evita deslocações"
"2020/04/07 10:08:49 PM GMT+1","Masculino","20","Estudante","Sim","1","Web","5","5","4","Sim","Não","3min","0h","","Sim","1","Mobile","5","5","5","Sim","Não","6min","0h",""
"2020/04/07 10:09:10 PM GMT+1","Masculino","31","Trabalhador","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:09:31 PM GMT+1","Feminino","20","Estudante","Não","","","","","","","","","","","Sim","1","Mobile","2","2","0","Sim","Não","2min","0h",""
"2020/04/07 10:10:22 PM GMT+1","Feminino","22","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:10:34 PM GMT+1","Masculino","20","Trabalhador","Não","","","","","","","","","","","Sim","1","Mobile","3","4","4","Sim","Não","7min","0h","Fácil de usar "
"2020/04/07 10:10:38 PM GMT+1","Masculino","21","Estudante","Sim","2","Web;Mobile","4","4","3","Sim","Não","2min","6h","","Sim","4","Mobile","3","3","3","Não","Não","5min","7h",""
"2020/04/07 10:10:45 PM GMT+1","Feminino","20","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:12:10 PM GMT+1","Masculino","20","Estudante","Sim","1","Mobile","4","3","3","Sim","Não","6min","0h","","Sim","1","Mobile","3","3","3","Sim","Não","4min","0h",""
"2020/04/07 10:12:23 PM GMT+1","Masculino","19","Estudante","Sim","2","Web;Mobile","3","3","3","Sim","Sim","2min","0h","","Sim","2","Web;Mobile","4","4","4","Sim","Não","3min","0h",""
"2020/04/07 10:12:58 PM GMT+1","Masculino","23","Reformado","Sim","3","Mobile","3","3","3","Sim","Não","1min","0h","","Não","","","","","","","","","",""
"2020/04/07 10:13:07 PM GMT+1","Feminino","54","Desempregado","Sim","3","Web","3","3","4","Sim","Não","6min","0h","Rapido e simples ","Sim","4","Mobile","4","3","3","Sim","Sim","9min","0h","Simples"
"2020/04/07 10:13:49 PM GMT+1","Feminino","20","Estudante","Sim","1","Web;Mobile","1","2","2","Não","Sim","10min","1h","","Sim","1","Web","3","3","3","Não","Não","3min","0h",""
"2020/04/07 10:14:48 PM GMT+1","Masculino","34","Desempregado","Não","","","","","","","","","","","Sim","4","Web;Mobile","4","4","4","Sim","Sim","5min","1h",""
"2020/04/07 10:14:51 PM GMT+1","Masculino","19","Estudante","Sim","1","Mobile","4","3","3","Sim","Não","8min","0h","","Sim","2","Mobile","4","4","4","Sim","Não","8min","0h",""
"2020/04/07 10:15:49 PM GMT+1","Feminino","25","Trabalhador","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:17:02 PM GMT+1","Feminino","20","Estudante","Não","","","","","","","","","","","Sim","3","Web","3","2","3","Não","Não","3min","1h",""
"2020/04/07 10:17:06 PM GMT+1","Masculino","36","Trabalhador","Não","","","","","","","","","","","Sim","4","Web;Mobile","4","4","5","Sim","Não","8min","5h",""
"2020/04/07 10:17:20 PM GMT+1","Masculino","25","Estudante","Sim","4","Web;Mobile","5","4","5","Não","Sim","13min","1h","","Não","","","","","","","","","",""
"2020/04/07 10:17:40 PM GMT+1","Feminino","28","Trabalhador","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:17:49 PM GMT+1","Feminino","19","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:18:23 PM GMT+1","Masculino","24","Estudante","Não","","","","","","","","","","","Sim","2","Web;Mobile","3","2","3","Não","Sim","7min","4h",""
"2020/04/07 10:18:49 PM GMT+1","Feminino","20","Estudante","Não","","","","","","","","","","","Não","","","","","","","","","",""
"2020/04/07 10:19:04 PM GMT+1","Feminino","20","Estudante","Não","","","","","","","","","","","Sim","3","Web;Mobile","4","5","5","Não","Não","1min","1h",""
"2020/04/07 10:20:02 PM GMT+1","Feminino","25","Desempregado","Não","","","","","","","","","","","Sim","2","Mobile","3","4","4","Sim","Sim","8min","6h",""
"2020/04/07 10:20:25 PM GMT+1","Feminino","25","Estudante","Sim","2","Web","2","3","3","Sim","Sim","20min","11h","Resposta super lenta","Sim","1","Web","1","1","4","Sim","Não","15min","3h",""
