ano;idade;sexo;estado;raca;grau;emprego;saude;seguro;salario,
2006;18;Masculino;Solteiro;Branca;Ate 12 ano;Industrial;Menos de Bom;Nao;75,4315402
2004;24;Masculino;Solteiro;Branca;Licenciatura;Servicos;Muito Bom;Nao;70,47601965
2003;45;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;130,9821774
2003;43;Masculino;Casado;Asiatica;Licenciatura;Servicos;Muito Bom;Sim;154,685293
2005;50;Masculino;Divorciado;Branca;12 ano;Servicos;Menos de Bom;Sim;75,4315402
2008;54;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;127,1157438
2009;44;Masculino;Casado;Outra;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;169,528538
2008;30;Masculino;Solteiro;Asiatica;Frequentou Ens. Sup. ;Servicos;Razoavel;Sim;111,7208494
2006;41;Masculino;Solteiro;Negra;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;118,8843593
2004;52;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;128,6804882
2007;45;Masculino;Divorciado;Branca;Frequentou Ens. Sup. ;Servicos;Razoavel;Sim;117,1468169
2007;34;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Nao;81,28325328
2005;35;Masculino;Solteiro;Branca;12 ano;Servicos;Muito Bom;Sim;89,49247952
2003;39;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;134,7053751
2009;54;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;134,7053751
2009;51;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;90,48191336
2003;37;Masculino;Solteiro;Asiatica;Licenciatura;Industrial;Muito Bom;Nao;82,6796373
2006;50;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Nao;212,8423523
2007;56;Masculino;Casado;Branca;Licenciatura;Industrial;Menos de Bom;Sim;129,156693
2003;37;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;98,59934386
2003;38;Masculino;Casado;Asiatica;Licenciatura;Servicos;Muito Bom;Nao;200,5432623
2005;40;Masculino;Divorciado;Branca;12 ano;Servicos;Muito Bom;Nao;50,40666086
2009;75;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;85,38394038
2007;40;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Nao;160,6424754
2006;38;Masculino;Solteiro;Branca;12 ano;Industrial;Menos de Bom;Nao;94,7271475
2005;49;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;277,6014175
2006;43;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Sim;84,4595765
2004;34;Masculino;Casado;Outra;12 ano;Industrial;Menos de Bom;Sim;65,11085372
2008;57;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Nao;116,2653241
2003;18;Masculino;Solteiro;Negra;12 ano;Industrial;Muito Bom;Sim;70,47601965
2004;55;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;195,676308
2005;51;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;101,4020523
2008;33;Masculino;Solteiro;Branca;Grau avancado;Industrial;Muito Bom;Nao;81,28325328
2005;34;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Nao;111,7208494
2006;36;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;89,88004678
2003;56;Masculino;Solteiro;Branca;Grau avancado;Servicos;Menos de Bom;Sim;87,98103279
2006;70;Masculino;Solteiro;Branca;Licenciatura;Industrial;Menos de Bom;Sim;87,98103279
2004;25;Masculino;Solteiro;Branca;Licenciatura;Industrial;Muito Bom;Sim;103,9024706
2006;32;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;105,9278108
2003;27;Masculino;Casado;Branca;Ate 12 ano;Industrial;Muito Bom;Nao;66,22940829
2004;28;Masculino;Casado;Asiatica;Licenciatura;Industrial;Muito Bom;Nao;34,60741773
2007;27;Masculino;Solteiro;Branca;Licenciatura;Servicos;Muito Bom;Sim;109,8339856
2004;43;Masculino;Solteiro;Branca;Ate 12 ano;Industrial;Menos de Bom;Nao;45,28216999
2005;50;Masculino;Solteiro;Outra;Ate 12 ano;Industrial;Menos de Bom;Sim;73,77574327
2004;39;Masculino;Casado;Negra;12 ano;Servicos;Muito Bom;Nao;81,28325328
2008;52;Masculino;Casado;Branca;Grau avancado;Industrial;Muito Bom;Sim;154,685293
2009;35;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;267,9010869
2007;57;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;176,9896505
2006;25;Masculino;Solteiro;Branca;Ate 12 ano;Industrial;Muito Bom;Nao;66,22940829
2006;33;Masculino;Solteiro;Branca;12 ano;Servicos;Menos de Bom;Sim;116,2653241
2005;57;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Nao;200,5432623
2008;71;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;101,8243521
2004;43;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;272,2947832
2003;23;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;35,3342132
2009;30;Masculino;Solteiro;Branca;Grau avancado;Servicos;Muito Bom;Sim;114,4757133
2004;22;Masculino;Solteiro;Negra;12 ano;Servicos;Muito Bom;Sim;81,28325328
2006;59;Masculino;Casado;Branca;Grau avancado;Servicos;Menos de Bom;Sim;200,5432623
2003;28;Masculino;Solteiro;Asiatica;Licenciatura;Servicos;Muito Bom;Sim;148,4131591
2004;61;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;99,6894637
2003;34;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;111,7208494
2005;43;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;152,838801
2006;54;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;117,1468169
2005;69;Masculino;Casado;Branca;12 ano;Industrial;Menos de Bom;Sim;77,7376033
2004;41;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;87,98103279
2003;48;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;125,5254984
2003;49;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;123,336104
2009;42;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;158,2946214
2003;37;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;200,5432623
2004;55;Masculino;Casado;Asiatica;12 ano;Industrial;Muito Bom;Sim;99,6894637
2008;21;Masculino;Solteiro;Negra;12 ano;Industrial;Muito Bom;Nao;70,47601965
2004;58;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;94,7271475
2006;31;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Nao;81,28325328
2006;25;Masculino;Solteiro;Branca;12 ano;Industrial;Muito Bom;Sim;81,28325328
2006;32;Masculino;Solteiro;Branca;Frequentou Ens. Sup. ;Servicos;Saudavel;Sim;100,7642728
2009;40;Masculino;Solteiro;Negra;Ate 12 ano;Servicos;Muito Bom;Sim;94,7271475
2003;44;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Nao;99,6894637
2003;60;Masculino;Casado;Branca;Licenciatura;Industrial;Muito Bom;Sim;268,266292
2006;23;Masculino;Solteiro;Branca;Ate 12 ano;Industrial;Menos de Bom;Sim;81,28325328
2003;63;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Nao;113,5670896
2008;44;Masculino;Solteiro;Branca;Ate 12 ano;Industrial;Menos de Bom;Nao;87,98103279
2005;47;Masculino;Casado;Asiatica;Grau avancado;Servicos;Menos de Bom;Sim;128,6804882
2004;61;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;106,7239776
2009;55;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Nao;66,4469423
2003;24;Masculino;Solteiro;Branca;Ate 12 ano;Industrial;Menos de Bom;Nao;51,52195631
2007;42;Masculino;Viuvo;Branca;12 ano;Industrial;Muito Bom;Sim;85,38394038
2006;25;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;76,89360252
2004;34;Masculino;Divorciado;Branca;12 ano;Industrial;Muito Bom;Nao;90,48191336
2009;53;Masculino;Casado;Branca;Ate 12 ano;Servicos;Muito Bom;Nao;68,7642829
2009;53;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;130,9821774
2009;70;Masculino;Casado;Asiatica;Grau avancado;Servicos;Menos de Bom;Nao;127,901233
2004;47;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;131,2245938
2003;46;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;99,6894637
2003;33;Masculino;Divorciado;Branca;Ate 12 ano;Industrial;Menos de Bom;Sim;76,89360252
2005;34;Masculino;Casado;Branca;Grau avancado;Servicos;Muito Bom;Sim;107,9039239
2006;22;Masculino;Solteiro;Branca;12 ano;Industrial;Menos de Bom;Nao;81,28325328
2009;74;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Sim;99,6894637
2003;40;Masculino;Casado;Negra;Frequentou Ens. Sup. ;Servicos;Razoavel;Sim;98,59934386
2006;45;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;200,5432623
2009;43;Masculino;Casado;Asiatica;Licenciatura;Servicos;Muito Bom;Sim;156,5035109
2005;33;Masculino;Casado;Asiatica;Licenciatura;Servicos;Muito Bom;Sim;144,944365
2009;62;Masculino;Casado;Negra;Licenciatura;Servicos;Muito Bom;Sim;118,8843593
2008;37;Masculino;Casado;Branca;Licenciatura;Servicos;Muito Bom;Sim;121,4303138
2004;54;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Sim;111,7208494
2005;34;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Nao;68,74808773
2008;50;Masculino;Solteiro;Branca;Licenciatura;Servicos;Muito Bom;Sim;114,4757133
2006;46;Masculino;Divorciado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;95,23071257
2007;41;Masculino;Casado;Branca;Ate 12 ano;Industrial;Muito Bom;Nao;87,98103279
2003;63;Masculino;Divorciado;Negra;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;64,27439722
2007;38;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Razoavel;Sim;128,6804882
2006;35;Masculino;Casado;Branca;Frequentou Ens. Sup. ;Industria;Saudavel;Sim;114,4757133
2009;29;Masculino;Casado;Branca;Licenciatura;Servicos;Menos de Bom;Sim;112,6488963
2008;66;Masculino;Casado;Branca;Ate 12 ano;Industrial;Muito Bom;Sim;81,28325328
2004;37;Masculino;Casado;Branca;12 ano;Servicos;Menos de Bom;Sim;75,89548482
2006;39;Masculino;Casado;Negra;12 ano;Servicos;Muito Bom;Sim;112,136923
2003;42;Masculino;Casado;Branca;12 ano;Industrial;Muito Bom;Nao;85,38394038
2007;51;Masculino;Divorciado;Branca;12 ano;Industrial;Muito Bom;Sim;94,7271475
2009;55;Masculino;Casado;Asiatica;Grau avancado;Industrial;Menos de Bom;Sim;114,4757133
2006;51;Masculino;Casado;Branca;Grau avancado;Industrial;Muito Bom;Sim;176,9896505
2008;38;Masculino;Casado;Branca;Grau avancado;Industrial;Menos de Bom;Sim;276,7784133
2005;49;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Sim;101,8243521
2006;42;Masculino;Casado;Branca;12 ano;Servicos;Muito Bom;Nao;91,69922611
2009;43;Masculino;Separado;Branca;Ate 12 ano;Servicos;Menos de Bom;Nao;86,69515483
